Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
silk-finish-foundation,Silk Finish Foundation,"<p>A weightless, buildable foundation with a natural silk finish. Hydrating, non-comedogenic, and dermatologist tested.</p>",Fazarim,Foundation,"makeup, foundation, best-seller, new",TRUE,Shade,Ivory,FZ-FDN-IVY,,continue,manual,2500,3200,TRUE,TRUE,,active
silk-finish-foundation,,,,,,,Shade,Beige,FZ-FDN-BGE,,continue,manual,2500,3200,TRUE,TRUE,,active
silk-finish-foundation,,,,,,,Shade,Sand,FZ-FDN-SND,,continue,manual,2500,3200,TRUE,TRUE,,active
silk-finish-foundation,,,,,,,Shade,Caramel,FZ-FDN-CRM,,continue,manual,2500,3200,TRUE,TRUE,,active
velvet-matte-lipstick,Velvet Matte Lipstick,"<p>Rich, long-wearing colour with a comfortable matte finish. Infused with vitamin E to keep lips soft.</p>",Fazarim,Lipstick,"makeup, lips, best-seller",TRUE,Shade,Rosewood,FZ-LIP-RSW,,continue,manual,1200,,TRUE,TRUE,,active
velvet-matte-lipstick,,,,,,,Shade,Coral,FZ-LIP-CRL,,continue,manual,1200,,TRUE,TRUE,,active
velvet-matte-lipstick,,,,,,,Shade,Berry,FZ-LIP-BRY,,continue,manual,1200,,TRUE,TRUE,,active
velvet-matte-lipstick,,,,,,,Shade,Nude,FZ-LIP-NUD,,continue,manual,1200,,TRUE,TRUE,,active
lash-volume-mascara,Lash Volume Mascara,"<p>Buildable volume and length in one coat. Smudge-proof, flake-free formula that lasts all day.</p>",Fazarim,Mascara,"makeup, eye, new",TRUE,Title,Default Title,FZ-MAS-BLK,,continue,manual,1400,1800,TRUE,TRUE,,active
flawless-concealer,Flawless Concealer,"<p>Full-coverage, crease-resistant concealer that brightens under-eyes and covers blemishes.</p>",Fazarim,Concealer,"makeup, concealer",TRUE,Shade,Light,FZ-CON-LGT,,continue,manual,1300,,TRUE,TRUE,,active
flawless-concealer,,,,,,,Shade,Medium,FZ-CON-MED,,continue,manual,1300,,TRUE,TRUE,,active
flawless-concealer,,,,,,,Shade,Deep,FZ-CON-DEP,,continue,manual,1300,,TRUE,TRUE,,active
hydra-glow-moisturizer,Hydra Glow Moisturizer,"<p>A lightweight gel-cream with hyaluronic acid for 72-hour hydration and a healthy glow.</p>",Fazarim,Moisturizer,"skincare, moisturizer, best-seller",TRUE,Size,50ml,FZ-MST-50,,continue,manual,2800,,TRUE,TRUE,,active
vitamin-c-serum,Vitamin C Brightening Serum,"<p>15% vitamin C serum that evens tone, fades dark spots, and boosts radiance. Suitable for daily use.</p>",Fazarim,Serum,"skincare, serum, best-seller, new",TRUE,Size,30ml,FZ-SRM-30,,continue,manual,3200,3900,TRUE,TRUE,,active
gentle-foaming-cleanser,Gentle Foaming Cleanser,"<p>A soft, sulfate-free cleanser that removes makeup and impurities without stripping the skin.</p>",Fazarim,Cleanser,"skincare, cleanser",TRUE,Size,150ml,FZ-CLN-150,,continue,manual,1600,,TRUE,TRUE,,active
daily-defense-sunscreen,Daily Defense Sunscreen SPF 50,"<p>Broad-spectrum SPF 50 with a weightless, no-white-cast finish. Reef-safe and non-greasy.</p>",Fazarim,Sunscreen,"skincare, sunscreen, new",TRUE,Size,50ml,FZ-SUN-50,,continue,manual,2200,,TRUE,TRUE,,active
nourish-body-wash,Nourish Body Wash,"<p>Creamy, pH-balanced body wash with shea butter for soft, nourished skin.</p>",Fazarim,Body Wash,"bath-body",TRUE,Size,250ml,FZ-BDW-250,,continue,manual,1500,,TRUE,TRUE,,active
silk-body-lotion,Silk Body Lotion,"<p>Fast-absorbing body lotion that locks in moisture for 24 hours. Lightweight, non-sticky.</p>",Fazarim,Body Lotion,"bath-body, best-seller",TRUE,Size,200ml,FZ-BDL-200,,continue,manual,1700,,TRUE,TRUE,,active
repair-shampoo,Repair Shampoo,"<p>Strengthening shampoo with keratin and argan oil for smoother, healthier-looking hair.</p>",Fazarim,Shampoo,"hair",TRUE,Size,300ml,FZ-SHM-300,,continue,manual,1800,,TRUE,TRUE,,active
argan-hair-oil,Argan Hair Oil,"<p>Nourishing hair oil that tames frizz and adds shine without weighing hair down.</p>",Fazarim,Hair Oil,"hair, best-seller, sale",TRUE,Size,50ml,FZ-OIL-50,,continue,manual,2400,2900,TRUE,TRUE,,active
